country;cases;deaths;casesper1M;deathsper1M;tests;testsper1M;population 
Portugal;970,937;17,369;95,523;1,709;15,214,294;1,496,810;10,164,477
Honduras;297,111;7,834;29,491;778;880,357;87,382;10,074,768
UAE;682,377;1,951;68,104;195;66,206,956;6,607,750;10,019,592
Tajikistan;15,150;121;1,551;12;;;9,768,690
Hungary;809,491;30,026;84,026;3,117;6,328,373;656,895;9,633,760
Belarus;446,998;3,464;47,322;367;7,312,463;774,137;9,445,955
Israel;875,801;6,477;93,910;695;16,464,882;1,765,482;9,326,000
Papua New Guinea;17,717;192;1,941;21;147,179;16,120;9,129,966
Austria;659,508;10,738;72,777;1,185;66,916,743;7,384,302;9,062,027
Switzerland;717,665;10,906;82,272;1,250;9,053,135;1,037,833;8,723,115
Serbia;722,221;7,118;83,021;818;4,677,471;537,689;8,699,210
Togo;15,870;153;1,870;18;406,719;47,917;8,487,941
Sierra Leone;6,283;120;771;15;160,358;19,671;8,152,029
Hong Kong;11,988;212;1,585;28;21,390,075;2,828,330;7,562,792
Laos;6,566;7;889;0.9;307,597;41,625;7,389,637
Paraguay;452,698;15,042;62,638;2,081;1,684,958;233,139;7,227,253
Libya;253,436;3,548;36,349;509;1,305,179;187,196;6,972,274
Bulgaria;425,148;18,215;61,690;2,643;3,631,622;526,956;6,891,700
Lebanon;562,527;7,909;82,818;1,164;4,731,376;696,579;6,792,301
Nicaragua;9,470;195;1,411;29;;;6,709,766
Kyrgyzstan;163,846;2,335;24,674;352;1,537,723;231,569;6,640,450
El Salvador;86,620;2,641;13,282;405;1,140,958;174,950;6,521,637
Singapore;65,102;37;11,034;6;15,726,438;2,665,440;5,900,128
Denmark;317,700;2,549;54,641;438;76,418,034;13,143,139;5,814,291
Congo;13,186;178;2,328;31;188,207;33,226;5,664,499
Finland;107,321;982;19,337;177;5,905,586;1,064,061;5,550,044
Norway;137,954;799;25,233;146;6,586,068;1,204,671;5,467,111
Slovakia;392,704;12,540;71,891;2,296;3,151,619;576,955;5,462,507
Oman;296,835;3,850;56,577;734;1,550,000;295,429;5,246,600
Palestine;316,861;3,604;60,593;689;1,994,784;381,464;5,229,291
Liberia;5,396;148;1,041;29;128,246;24,730;5,185,858
Costa Rica;406,814;5,030;79,078;978;1,734,362;337,133;5,144,439
New Zealand;2,873;26;574;5;2,484,284;496,648;5,002,100
Ireland;302,074;5,035;60,446;1,008;4,729,538;946,394;4,997,428
CAR;7,151;98;1,453;20;54,814;11,140;4,920,443
Mauritania;25,973;567;5,432;119;371,542;77,706;4,781,352
Panama;436,475;6,833;99,467;1,557;3,380,719;770,422;4,388,139
Kuwait;398,538;2,328;91,854;537;3,417,022;787,548;4,338,810
Croatia;363,758;8,263;89,204;2,026;2,305,717;565,430;4,077,808
Moldova;259,549;6,255;64,503;1,555;1,415,311;351,735;4,023,800
Georgia;422,188;5,853;106,054;1,470;6,813,272;1,711,505;3,980,867
Eritrea;6,547;35;1,819;10;23,693;6,582;3,599,465
Uruguay;381,569;5,966;109,433;1,711;3,067,145;879,653;3,486,767
Mongolia;165,147;820;49,515;246;3,446,882;1,033,451;3,335,314
Bosnia and Herzegovina;205,655;9,687;63,110;2,973;1,071,650;328,860;3,258,684
Jamaica;53,237;1,196;17,894;402;497,766;167,307;2,975,162
Armenia;230,339;4,619;77,575;1,556;1,346,335;453,427;2,969,243
Albania;133,121;2,457;46,313;855;916,777;318,947;2,874,391
Qatar;226,390;601;80,629;214;2,337,356;832,450;2,807,805
Lithuania;283,034;4,416;105,569;1,647;4,042,823;1,507,929;2,681,044
Namibia;119,285;3,057;46,046;1,180;615,104;237,438;2,590,585
Gambia;7,709;212;3,096;85;91,290;36,666;2,489,794
Botswana;106,690;1,569;44,401;653;1,470,906;612,147;2,402,865
Gabon;25,384;164;11,122;72;981,229;429,918;2,282,361
Lesotho;13,603;377;6,296;174;136,956;63,387;2,160,625
North Macedonia;156,452;5,493;75,099;2,637;982,469;471,597;2,083,281
Slovenia;259,273;4,429;124,696;2,130;1,392,786;669,851;2,079,248
Guinea-Bissau;4,498;76;2,229;38;81,531;40,399;2,018,153
Latvia;138,899;2,556;74,534;1,372;3,141,713;1,685,864;1,863,563
Bahrain;269,303;1,384;152,564;784;5,464,087;3,095,490;1,765,177
Equatorial Guinea;8,880;123;6,113;85;171,690;118,197;1,452,573
Trinidad and Tobago;38,930;1,084;27,720;772;269,468;191,875;1,404,396
Timor-Leste;10,966;26;8,150;19;95,473;70,955;1,345,550
Estonia;133,684;1,272;100,703;958;1,623,067;1,222,647;1,327,502
Mauritius;3,913;19;3,071;15;358,675;281,523;1,274,054
Cyprus;102,223;422;84,005;347;9,366,973;7,697,595;1,216,870
Eswatini;26,220;798;22,350;680;255,389;217,694;1,173,155
Djibouti;11,652;156;11,611;155;191,946;191,272;1,003,524
